Date,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
13-Mar,14,9,8,4,5,1,0,0
14-Mar,20,13,11,3,3,1,0,0
15-Mar,22,8,15,1,1,1,0,0
16-Mar,37,14,7,9,10,1,0,1
17-Mar,39,23,10,3,3,0,0,0
18-Mar,57,27,16,5,4,3,0,1
19-Mar,40,29,50,5,17,0,0,1
20-Mar,46,28,40,8,12,0,2,2
21-Mar,83,51,37,17,26,7,2,3
22-Mar,97,67,38,33,30,5,0,10
23-Mar,136,61,60,34,20,6,0,13
24-Mar,149,56,78,36,35,8,1,7
25-Mar,211,55,46,27,30,6,0,5
26-Mar,190,54,50,38,26,5,7,9
27-Mar,186,54,62,22,24,12,2,9
28-Mar,212,111,70,30,23,4,1,9
29-Mar,174,84,31,12,33,4,0,6
30-Mar,127,52,33,6,44,3,0,1
31-Mar,114,96,55,32,9,0,4,2
1-Apr,150,51,40,30,28,2,0,5
2-Apr,116,68,57,18,8,3,3,4
3-Apr,91,49,39,11,22,6,4,4
4-Apr,104,30,27,11,14,2,0,2
5-Apr,87,20,9,2,17,4,1,3
6-Apr,57,23,14,2,7,3,1,0
7-Apr,49,33,13,4,10,9,0,1
8-Apr,48,21,9,5,11,9,0,2
9-Apr,39,16,10,1,14,4,0,1
10-Apr,49,13,13,7,11,11,0,3
11-Apr,44,24,9,1,8,11,0,0
12-Apr,7,3,12,0,3,11,0,0
13-Apr,9,13,7,2,6,6,0,1
14-Apr,7,10,11,2,4,15,0,0
15-Apr,16,8,5,0,5,4,0,0
16-Apr,11,2,5,1,3,11,0,0
17-Apr,29,1,6,1,6,4,0,0
18-Apr,10,17,9,0,3,4,0,0
19-Apr,21,9,5,0,1,9,0,0
20-Apr,6,1,0,0,0,3,0,1
21-Apr,6,7,6,2,1,1,0,0
22-Apr,5,2,0,1,0,4,0,0
23-Apr,5,1,2,0,0,0,0,0
24-Apr,7,6,2,0,2,2,0,1
25-Apr,12,3,2,0,1,1,0,1
26-Apr,8,3,3,0,0,4,0,0
27-Apr,2,1,3,0,0,2,0,0
28-Apr,5,2,0,0,1,4,0,0
29-Apr,11,3,1,0,1,1,0,0
30-Apr,2,7,0,0,0,2,0,0
1-May,9,3,0,0,0,0,0,0
2-May,5,7,1,0,0,0,2,0
3-May,4,13,1,0,0,0,0,0
4-May,1,22,3,0,0,0,0,1
5-May,3,17,5,0,0,2,0,0
6-May,9,17,0,0,0,0,0,0
7-May,3,14,2,1,0,2,0,0
8-May,4,14,0,0,1,0,0,0
9-May,5,11,0,0,0,0,0,0
10-May,2,10,2,0,0,0,0,0
11-May,1,7,0,0,0,0,0,0
12-May,0,17,0,0,1,0,0,0
13-May,6,7,0,0,0,0,0,0
14-May,4,9,0,0,1,0,0,0
15-May,8,21,1,0,0,1,0,0
16-May,3,11,1,0,0,0,0,0
17-May,1,7,0,0,0,0,0,0
18-May,1,8,2,0,0,0,0,0
19-May,2,7,0,0,0,0,0,0
20-May,4,8,1,0,0,0,0,0
21-May,2,4,0,0,0,0,0,0
22-May,3,12,0,0,0,0,0,0
23-May,3,10,1,0,0,0,0,0
24-May,1,2,1,0,0,0,0,0
25-May,3,2,0,0,4,0,0,0
26-May,2,5,1,1,6,0,0,0
27-May,2,8,1,0,0,0,0,0
28-May,1,10,0,0,7,0,0,0
29-May,2,7,0,0,8,0,0,0
30-May,0,11,0,0,0,0,0,0
31-May,3,6,0,0,3,0,0,0
1-Jun,3,4,0,0,1,0,0,0
2-Jun,6,10,1,0,0,0,0,0
3-Jun,0,7,0,0,1,0,0,0
4-Jun,2,8,0,0,0,0,0,0
5-Jun,4,3,0,0,4,0,0,0
6-Jun,0,0,1,0,1,0,0,0
7-Jun,0,4,0,0,0,0,0,1
8-Jun,3,2,0,0,0,0,0,0
9-Jun,2,0,0,0,0,0,0,0
10-Jun,3,4,0,0,0,0,0,0
11-Jun,0,8,1,0,0,0,0,0
12-Jun,3,4,1,0,1,0,0,0
13-Jun,4,8,1,0,0,0,0,0
14-Jun,9,9,0,0,0,0,0,0
15-Jun,3,12,0,0,0,0,0,0
16-Jun,3,9,0,0,0,0,0,0
17-Jun,1,21,1,0,0,0,0,0
18-Jun,2,18,0,0,1,0,0,0
19-Jun,7,13,0,0,0,0,0,0
20-Jun,1,25,0,0,0,0,0,0
21-Jun,5,19,0,0,1,0,0,0
22-Jun,2,16,0,0,0,0,0,0
23-Jun,1,17,0,0,2,0,0,0
24-Jun,10,20,0,0,0,0,0,0
25-Jun,4,33,0,0,0,0,0,0
26-Jun,6,30,1,0,0,0,0,0
27-Jun,6,41,0,0,0,0,0,0
28-Jun,3,49,0,0,1,0,0,0
29-Jun,7,75,0,3,0,0,0,0
30-Jun,5,64,0,0,2,0,0,0
1-Jul,14,73,0,0,0,0,0,0
2-Jul,8,77,0,0,0,0,1,0
3-Jul,0,66,0,0,0,0,0,0
4-Jul,6,108,0,0,0,0,0,0
5-Jul,14,74,0,0,6,0,0,0
6-Jul,10,127,0,0,3,0,0,0
7-Jul,7,191,1,0,0,0,0,0
8-Jul,8,134,0,0,2,0,0,3
9-Jul,13,165,0,0,3,0,0,1
10-Jul,14,288,0,0,3,0,1,1
11-Jul,7,216,2,0,2,0,0,0
12-Jul,5,273,0,0,1,0,0,0
13-Jul,14,177,1,0,0,0,0,0
14-Jul,13,270,0,0,1,0,0,0
15-Jul,13,238,0,0,8,0,0,0
16-Jul,10,317,0,1,2,0,0,0
17-Jul,8,428,0,0,2,0,0,0
18-Jul,15,217,0,0,1,0,0,0
19-Jul,18,363,0,0,0,0,0,0
20-Jul,20,275,1,0,0,1,0,0
21-Jul,13,374,0,0,0,0,0,0
22-Jul,16,484,1,2,0,0,0,0
23-Jul,19,403,0,1,0,0,0,0
24-Jul,7,300,2,0,0,0,0,0
25-Jul,15,357,0,0,0,0,0,0
26-Jul,14,459,0,0,2,0,0,0
27-Jul,17,532,0,0,0,0,0,0
28-Jul,14,384,0,1,1,0,0,0