Country,Continent,Population,GPD per capita,"Birth rate, crude (per 1,000 people)","Contraceptive prevalence, any methods (% of women ages 15-49)","Death rate, crude (per 1,000 people)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)"
Afghanistan,Asia,37209007,616.114265,32.507,22.5,6.587,64.047,51.5
Albania,Europe,2938428,5494.774757,11.745,46,7.549,78.495,7.8
Algeria,Africa,42679018,4891.701116,22.292,57.1,4.758,76.293,20.6
Andorra,Europe,77072,37087.48477,8.8,--,4.3,--,3.2
Angola,Africa,31787566,3810.86114,41.347,13.7,8.372,61.809,53.8
Antigua and Barbuda,Americas,104084,16265.70847,16.089,53,5.791,76.519,5.4
Argentina,Americas,45101781,14626.78381,16.975,81.3,7.56,76.738,9.2
Armenia,Europe,2936706,4323.211108,13.092,57.1,9.686,74.782,11.3
Aruba,Americas,106053,25148.1722,11.004,--,8.904,76.01,--
Australia,Oceania,25088636,63052.05273,12.4,66.9,6.5,82.497561,3
Austria,Europe,8766201,57440.84581,10,65.7,9.5,81.6414634,2.9
Azerbaijan,Europe,10014575,4785.624952,14.6,54.9,5.8,72.123,20.5
Bahamas,Americas,403095,31999.90077,14.126,44.6,6.447,75.823,5.8
Bahrain,Asia,1637896,24240.2448,14.402,61.8,2.372,77.038,6.3
Bangladesh,Asia,168065920,1861.138772,18.613,62.3,5.266,72.808,26.9
Barbados,Americas,287010,19218.84255,11.819,59.2,10.831,76.057,11.5
Belarus,Europe,9433874,6521.393014,10.8,63.1,12.6,74.1292683,2.8
Belgium,Europe,11562784,50826.77321,10.5,66.8,9.6,81.4390244,3.1
Belize,Americas,390231,5091.855849,22.312,51.4,5.429,70.588,12.2
Benin,Africa,11801595,1033.758572,36.622,15.5,9.029,61.171,63.5
Bermuda,Americas,60833,100723.9656,9.3,--,7.8,81.4419512,--
Bhutan,Asia,826229,3388.890973,17.879,65.6,6.009,70.565,25.6
Bolivia,Americas,11379861,3849.256155,22.968,66.5,7.252,69.473,28
Bosnia and Herzegovina,Europe,3501774,6140.316308,9.207,45.8,11.172,77.087,4.9
Botswana,Africa,2374636,8114.085696,23.162,52.8,6.406,67.618,30.8
Brazil,Americas,212392717,10625.83516,13.918,80.2,6.243,75.723,13.2
Brunei,Asia,439336,33666.71522,15.575,--,3.641,77.374,9
Bulgaria,Europe,6988739,9800.051197,9,69.2,15.5,74.8121951,6.3
Burkina Faso,Africa,20321560,780.7963562,38.42,25.4,8.341,60.77,51.2
Burundi,Africa,11575964,390.9825566,41.763,28.5,10.547,57.857,42.5
Cambodia,Asia,16482646,1615.517314,22.886,56.3,6.007,69.331,25.1
Cameroon,Africa,25312993,1649.271582,35.768,34.4,9.807,58.575,55.1
Canada,Americas,37279811,51194.73379,10.3,85,7.5,82.4704878,4.5
Cape Verde,Africa,560349,3745.8798,20.661,61.3,5.448,73.004,15
Cayman Islands,Americas,63129,60892.46822,9.902558821,--,3.42232433,82.1902439,--
Central African Republic,Africa,4825711,483.6592991,35.328,15.2,13.104,52.89,87.6
Chad,Africa,15814345,773.9808383,42.803,5.7,12.712,53.208,73.4
Chile,Americas,18336653,16134.02402,13.135,76.3,6.164,79.732,6.3
China,Asia,1420062022,10945.79656,12.43,87.9,7.11,76.41,8
Colombia,Americas,49849818,6961.449689,14.925,81,6.081,74.562,12.7
Comoros,Africa,850910,917.8408997,32.365,19.4,7.298,63.912,52.2
Costa Rica,Americas,4999384,12971.5981,14.056,76.2,5.002,80.03,7.8
Croatia,Europe,4140148,15412.4925,8.9,69,13,77.8268293,3.9
Cuba,Americas,11492046,7804.415332,10.751,73.7,8.105,79.921,4.1
Curacao,Americas,162547,19203.36866,9.7,--,8.9,78.0170732,--
Cyprus,Europe,1198427,21994.66467,10.672,--,6.952,80.67,2.1
Czech Republic,Europe,10630589,26053.21304,10.8,86.3,10.5,79.4756098,2.6
Democratic Republic of the Congo,Africa,86727573,503.4500389,41.734,20.4,9.688,60.031,70
Denmark,Europe,5775224,66907.01521,10.6,76.5,8.2,81.004878,3.7
Djibouti,Africa,985690,2414.552243,22.66,19,8.349,62.643,51.5
Dominica,Americas,74679,7257.72975,12,50,8.2,76.597561,31.5
Dominican Republic,Americas,10996774,7691.80125,19.832,69.5,6.127,74.048,25
Ecuador,Americas,17100444,6424.745463,19.872,80.1,5.12,76.551,12.5
Egypt,Africa,101168745,2670.229955,25.691,58.5,5.859,71.661,18.8
El Salvador,Americas,6445405,4764.479501,18.374,72,6.759,73.75,12.5
Equatorial Guinea,Africa,1360104,8371.418656,33.616,12.6,10.025,57.939,65.3
Eritrea,Africa,5309659,1453.389003,31.59,8.4,6.649,65.536,32.1
Estonia,Europe,1303798,25515.45562,10.5,63.4,11.8,77.6414634,2.1
Ethiopia,Africa,110135635,814.6954435,31.255,36.5,6.67,65.874,41
Fiji,Oceania,918757,6306.346509,19.041,44.3,7.194,70.417,21.4
Finland,Europe,5561389,54686.51806,9.1,85.5,9.8,81.4292683,1.9
France,Europe,65480710,46732.38882,11.4,78.4,9,82.5243902,3.5
French Polynesia,Oceania,288506,18779.27721,15.177,--,5.519,76.996,--
Gabon,Africa,2109099,8579.967085,28.901,31.1,7.438,66.48,35.1
Gambia,Africa,2228075,520.179976,38.965,9,7.931,61.424,41.4
Georgia,Europe,3904204,4465.186758,13.18,53.4,13.168,73.436,9.7
Germany,Europe,82438639,53576.81851,9.5,68.7,11.3,80.9902439,3.1
Ghana,Africa,30096970,1884.741221,30.52,33,7.985,63.033,35.7
Greece,Europe,11124603,21199.49809,8.2,76.2,11.6,81.3878049,4.3
Greenland,Europe,56673,40282.46047,15.2,--,8.9,71.2463415,--
Grenada,Americas,108825,11477.1422,18.359,54,7.098,73.78,15.3
Guatemala,Americas,17577842,4996.005767,24.916,60.6,4.81,73.654,23.1
Guinea,Africa,13398180,873.1036603,35.468,8.7,8.946,60.617,56.4
Guinea-Bissau,Africa,1953723,884.465198,35.988,16,10.296,57.805,55.6
Guyana,Americas,786508,4972.61312,20.389,33.9,8.256,66.766,26
Haiti,Americas,11242856,867.3063143,23.821,34.3,8.544,63.589,53.9
Honduras,Americas,9568688,2594.190552,21.418,73.2,4.805,73.774,15.6
Hong Kong,Asia,7490776,51794.76732,7.7,74.8,6.3,84.6804878,--
Hungary,Europe,9655361,17899.58967,9.7,61.6,13.5,76.0634146,3.8
Iceland,Europe,340566,92921.78315,11.9,--,6.5,82.204878,1.6
India,Asia,1368737513,2305.211898,18.782,53.5,7.328,68.803,32
Indonesia,Asia,269536482,4277.305957,18.624,60.9,7.155,69.355,21.4
Iran,Asia,82820766,4988.048529,15.922,77.4,4.493,76.153,12.8
Iraq,Asia,40412299,5775.518982,32.768,52.5,4.952,70.038,25.3
Ireland,Europe,4847139,84426.09135,12.9,64.8,6.3,81.9560976,3
Israel,Asia,8583916,45510.23099,21.1,68,5.1,82.602439,2.9
Italy,Europe,59216525,38189.67763,7.6,65.1,10.7,83.2439024,2.9
Ivory Coast,Africa,25531083,2075.078445,36.553,15.5,11.928,54.102,64.2
Jamaica,Americas,2906339,5451.876054,16.434,72.5,7.037,76.097,13.1
Japan,Asia,126854745,42270.55125,7.6,39.8,10.8,84.0997561,1.9
Jordan,Asia,10069794,4448.353164,25.883,51.8,3.829,74.476,14.6
Kazakhstan,Asia,18592970,10244.14066,21.64,55.7,7.15,72.95,8.9
Kenya,Africa,52214791,1834.786622,30.876,61.6,5.658,67.291,33.6
Kiribati,Oceania,120428,1826.817684,27.871,22.3,6.963,66.506,42.7
Kuwait,Asia,4248974,32983.49201,15.974,52,2.808,74.811,6.9
Kyrgyzstan,Asia,6218616,1291.123298,24.8,42,5.4,71.2,17.9
Laos,Asia,7064242,2839.51201,23.383,49.8,6.579,67.021,48.6
Latvia,Europe,1911108,20208.69569,10.7,67.8,14.8,74.6804878,3.6
Lebanon,Asia,6065922,9294.382618,15.497,54.5,4.666,79.758,6.7
Lesotho,Africa,2292682,1335.553731,27.532,60.2,12.506,54.568,66.5
Liberia,Africa,4977720,709.9635978,33.936,31,7.661,63.006,55.9
Libya,Africa,6569864,7142.156976,19.125,41.9,5.209,72.11,10.6
Liechtenstein,Europe,38404,161276.8863,8.9,--,6.6,82.2585366,--
Lithuania,Europe,2864459,20323.20937,10.1,62.9,14.2,74.6707317,3.4
Luxembourg,Europe,596992,129710.2809,10.4,--,7.1,82.6853659,2.1
Macau,Asia,642090,89665.00023,12.213,--,3.866,83.991,--
Madagascar,Africa,26969642,502.7504629,32.9,39.8,6.19,66.312,32.7
Malawi,Africa,19718743,356.2093182,36.399,59.2,7.104,63.671,38.5
Malaysia,Asia,32454455,12405.23065,16.997,52.2,5.001,75.452,6.7
Maldives,Asia,451738,11442.47329,17.664,18.8,3.3,77.649,6.8
Mali,Africa,19689140,977.5439659,42.076,15.6,9.985,58.456,65.8
Malta,Europe,433245,37036.78057,9.2,85.8,7.6,82.4536585,5.6
Marshall Islands,Oceania,53211,3965.345511,31.23215713,44.6,3.7,65.2390244,28
Mauritania,Africa,4661149,1188.548146,33.726,17.8,7.806,63.384,53.3
Mauritius,Africa,1271368,11182.44285,10.7,63.8,8,74.5146341,11.6
Mexico,Americas,132328035,9711.32081,17.83,66.9,4.88,77.305,11.5
Micronesia,Oceania,106983,3196.76958,23.774,55,6.226,69.316,26.7
Moldova,Europe,4029750,2457.472548,10.105,59.5,11.555,71.718,13.3
Monaco,Europe,39102,165413.5563,7.8,--,7.9,--,2.7
Mongolia,Asia,3166244,4354.054836,23.103,54.6,6.339,69.465,14.8
Montenegro,Europe,629355,9314.297972,11.224,23.3,9.937,77.271,3.2
Morocco,Africa,36635156,3522.108654,19.5,67.4,5.12,76.059,20
Mozambique,Africa,31408823,478.1140637,38.557,27.1,9.821,58.872,53.3
Myanmar,Asia,54336138,1379.818345,17.615,52.2,8.185,66.744,38.5
Namibia,Africa,2641996,5325.897541,28.723,56.1,7.074,64.85,31.8
Nauru,Oceania,11260,10124.33393,--,35.6,--,--,27.3
Nepal,Asia,29942018,960.1891229,19.49,52.6,6.243,70.604,27.8
Netherlands,Europe,17132908,58062.00559,9.9,73,8.8,81.5609756,3.3
New Caledonia,Oceania,283376,33332.79759,14.5,--,5.5,77.1487805,--
New Zealand,Oceania,4792409,49104.32311,12.43,75,6.95,81.6585366,4.4
Nicaragua,Americas,6351157,2440.34276,19.104,80.4,4.8,75.653,14.8
Niger,Africa,23176691,462.4042319,47.838,18.9,9.478,60.422,48.3
Nigeria,Africa,200962417,2366.442478,38.4,13.4,12.164,53.875,64.6
North Korea,Asia,25727408,652.5570641,13.797,78.2,8.953,71.887,14.4
North Macedonia,Europe,2086720,6663.088483,11.237,40.2,9.856,75.851,12
Norway,Europe,5400916,85203.50992,10.7,88.4,7.7,82.5097561,2.1
Oman,Asia,5001875,17120.77971,17.854,29.7,2.498,77.258,9.7
Pakistan,Asia,204596442,1380.796289,27.7,34.2,7.228,66.629,61.2
Palau,Oceania,22206,15356.21003,12.4,22.26,10.3,69.1292683,13.2
Palestine,Asia,5186790,2582.927013,31.409,57.2,3.482,73.646,17.9
Panama,Americas,4226197,17124.3792,19.218,62.8,5.04,78.195,13.9
Papua New Guinea,Oceania,8586525,3192.327513,27.298,32.4,7.094,65.705,41.8
Paraguay,Americas,6981981,4957.761988,20.746,68.4,5.776,73.211,17.9
Peru,Americas,32933835,7491.201678,18.936,76.2,5.658,75.22,11.6
Philippines,Asia,108106310,3290.686732,22.975,54.3,6.547,69.238,22.2
Poland,Europe,38028278,17091.8599,10.6,50.6,10.6,77.8512195,4
Portugal,Europe,10254666,25388.73524,8.4,73.9,10.6,81.1243902,3.1
Puerto Rico,Americas,3654978,26533.67544,7.3,84.1,8.9,79.9736341,--
Qatar,Asia,2743901,70668.00151,9.988,37.5,1.56,78.331,6.5
Republic of the Congo,Africa,5542197,1970.879058,34.059,30.1,7.136,65.088,34.7
Romania,Europe,19483360,13614.95143,9.7,69.8,13.3,75.3097561,6.6
Russia,Europe,143895551,12191.41237,12.9,68,12.9,72.1190244,6.5
Rwanda,Africa,12794412,823.171866,30.441,53.2,5.835,67.496,28.9
Saint Kitts and Nevis,Americas,56345,18173.751,11.9,54,7.6,71.3365854,11.6
Saint Lucia,Americas,180454,10113.3807,11.975,55.5,7.529,75.696,14.9
Saint Vincent and the Grenadines,Americas,110488,7883.209036,15.246,48,7.258,73.294,14.9
Samoa,Oceania,198909,4625.230633,24.316,26.9,4.972,75.24,14.2
San Marino,Europe,33683,55339.48876,7.9,--,7.6,85.4170732,2
Sao Tome and Principe,Africa,213379,2291.696934,33.361,40.6,6.583,66.762,25.2
Saudi Arabia,Asia,34140662,22237.96949,19.185,24.6,3.581,74.72,6.3
Senegal,Africa,16743859,1297.31145,34.973,27.8,5.745,67.477,32.7
Serbia,Europe,8733407,5874.454265,9.2,58.4,14.8,76.0878049,5
Seychelles,Africa,95702,17335.06092,17.2,--,7.8,74.3,12.2
Sierra Leone,Africa,7883123,504.3686366,34.44,16.6,12.509,52.214,81.7
Singapore,Asia,5868104,62674.92873,8.9,62,5,82.895122,2.2
Sint Maarten,Americas,40939,26186.93761,14.1,--,4.6,73.0536585,--
Slovakia,Europe,5450987,21991.43018,10.7,79.8,9.9,77.1658537,4.6
Slovenia,Europe,2081900,29126.27888,9.8,78.9,9.9,81.1756098,1.7
Solomon Islands,Oceania,635254,2303.015802,28.198,29.3,4.7,71.006,17.6
Somalia,Africa,15636171,525.0646082,43.055,14.6,11.11,56.714,79.7
South Africa,Africa,58065097,6662.401683,20.655,54.6,9.58,63.404,28.8
South Korea,Asia,51339238,34625.56262,7,79.6,5.6,82.6268293,2.8
South Sudan,Africa,13263184,211.6384723,35.56,4,10.731,57.288,62.5
Spain,Europe,46441049,34104.95745,8.4,70.9,9,83.3292683,2.6
Sri Lanka,Asia,21018859,4741.028045,15.002,61.7,6.991,75.485,7.5
Sudan,Africa,42514094,1949.64512,32.555,12.2,7.359,64.698,43.7
Suriname,Americas,573085,7374.124257,17.983,47.6,7.377,71.523,17.5
Swaziland,Africa,1415414,3281.01884,28.415,66.1,9.383,58.268,40.8
Sweden,Europe,10053135,62547.85199,11.5,75.2,9.1,82.3073171,2.3
Switzerland,Europe,8608259,90532.47585,10.3,72.9,7.9,83.602439,3.7
Syria,Asia,18499181,1198.057099,20.906,53.9,5.371,70.963,14
Tajikistan,Asia,9292000,879.8966853,28.275,29.3,5.127,71.214,29.4
Tanzania,Africa,60913557,1012.254136,37.752,38.4,6.494,66.31,38.3
Thailand,Asia,69306160,7504.008302,10.098,78.4,7.999,75.498,8.2
Timor-Leste,Asia,1352360,2239.788222,34.642,26,5.424,69.199,40.8
Togo,Africa,8186384,742.4523453,33.545,19.9,8.569,60.477,49.2
Tonga,Oceania,110041,4125.734953,23.625,34.1,5.963,73.179,13.7
Trinidad and Tobago,Americas,1375443,16382.35827,13.253,40.3,9.743,70.783,23.1
Tunisia,Africa,11783168,3560.672308,17.865,62.5,6.323,75.943,11.2
Turkey,Europe,82961805,11591.53902,15.954,73.5,5.83,76.009,10
Turkmenistan,Asia,5942561,7808.249676,24.614,50.2,7.057,67.956,40.6
Turks and Caicos Islands,Americas,36461,25165.25855,--,--,--,--,--
Tuvalu,Oceania,11393,3949.793733,--,30.5,--,--,21
Uganda,Africa,45711874,649.5030153,41.663,38.4,8.528,60.182,35.4
Ukraine,Europe,43795220,2893.489289,9.4,65.4,14.5,71.7809756,7.5
United Arab Emirates,Asia,9682088,44187.78264,9.328,27.5,1.635,77.412,7.8
United Kingdom,Europe,66959016,45140.74699,11.4,84,9.2,81.1560976,3.7
United States,Americas,329093110,65058.27485,11.8,72.7,8.5,78.5390244,5.7
Uruguay,Americas,3482156,19168.87124,13.928,79.6,9.378,77.645,7
Uzbekistan,Asia,32807368,1459.794032,22.1,64.9,5,71.42,20
Vanuatu,Oceania,288017,3555.345691,25.524,49,4.772,72.334,22.6
Venezuela,Americas,32779868,2819.321908,18.735,75,5.652,74.726,25.7
Vietnam,Asia,97429061,2719.301585,16.45,75.7,5.837,76.454,16.7
Yemen,Asia,29579986,589.9935179,31.027,33.5,6.374,65.157,43.2
Zambia,Africa,18137369,1500.603533,37.833,49,7.604,62.255,41.5
Zimbabwe,Africa,17297495,1217.922017,32.318,66.8,7.852,61.712,36.5